时间戳 (Timestamp),日志级别 (Level),事件/动作 (Action),报文原文 (Original Message),内容解析 (Content Analysis)
2024-11-16 00:03:13.510,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-01-68-82-8f-00-03-01-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-3a-00-3a-00-b1-01-00-00-f4-8a-3e-06-00-00-00-00-36-36-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-d2-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:04:27.791,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-08-68-82-8f-00-03-01-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-3a-00-3a-00-b1-01-00-00-f4-8a-3e-06-00-00-00-00-36-36-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-d9-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:04:27.791,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-09-68-82-8f-00-03-02-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-39-00-39-00-9c-01-00-00-dc-7f-66-06-00-00-00-00-37-38-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-cc-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:05:32.310,DEBUG,"0.0.0.0桩没有充电枪口,将桩设置成空闲状态.",,无报文
2024-11-16 00:05:32.382,DEBUG,生成时间等待任务:36,,无报文
2024-11-16 00:05:32.602,DEBUG,接收,68-76-00-00-00-04-15-fd-01-68-81-05-00-01-01-10-b9-01-af-16,"控制码: 81 (应答/上报: 读当前数据), 数据长度: 5 字节, 终端地址: 760000000415"
2024-11-16 00:05:32.602,DEBUG,"1,枪状态:1---就绪",,无报文
2024-11-16 00:05:32.630,DEBUG,"充电桩数据采集任务,发送",68-76-00-00-00-04-15-fd-01-68-01-04-00-01-01-10-b9-2d-16,"控制码: 01 (下发: 读当前数据), 数据长度: 4 字节, 终端地址: 760000000415"
2024-11-16 00:05:33.502,DEBUG,"充电桩数据采集任务,发送",68-76-00-00-00-04-15-fd-01-68-01-04-00-02-01-10-b9-2e-16,"控制码: 01 (下发: 读当前数据), 数据长度: 4 字节, 终端地址: 760000000415"
2024-11-16 00:05:33.586,DEBUG,接收,68-76-00-00-00-04-15-fd-01-68-81-05-00-02-01-10-b9-01-b0-16,"控制码: 81 (应答/上报: 读当前数据), 数据长度: 5 字节, 终端地址: 760000000415"
2024-11-16 00:05:33.587,DEBUG,"2,枪状态:1---就绪",,无报文
2024-11-16 00:05:34.492,DEBUG,"充电桩数据采集任务,发送",68-76-00-00-00-04-15-fd-01-68-01-08-00-00-00-1f-90-1f-b6-2f-b6-cf-16,"控制码: 01 (下发: 读当前数据), 数据长度: 8 字节, 终端地址: 760000000415"
2024-11-16 00:05:42.741,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-11-68-82-8f-00-03-01-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-3a-00-3a-00-b1-01-00-00-f4-8a-3e-06-00-00-00-00-36-36-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-e2-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:05:42.742,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-12-68-82-8f-00-03-02-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-39-00-39-00-9c-01-00-00-dc-7f-66-06-00-00-00-00-37-38-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-d5-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:05:44.566,DEBUG,"充电桩数据采集任务,发送",68-76-00-00-00-04-15-fd-01-68-01-08-00-01-01-1f-90-1f-b6-2f-b6-d1-16,"控制码: 01 (下发: 读当前数据), 数据长度: 8 字节, 终端地址: 760000000415"
2024-11-16 00:05:54.747,DEBUG,"超时2次,不执行任务了",,无报文
2024-11-16 00:06:58.210,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-18-68-82-8f-00-03-01-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-3a-00-3a-00-b1-01-00-00-f4-8a-3e-06-00-00-00-00-36-36-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-e9-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:06:58.210,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-19-68-82-8f-00-03-02-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-39-00-39-00-9c-01-00-00-dc-7f-66-06-00-00-00-00-37-38-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-dc-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:08:12.643,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-1f-68-82-8f-00-03-01-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-3a-00-3a-00-b1-01-00-00-f4-8a-3e-06-00-00-00-00-36-36-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-f0-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:08:12.643,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-01-68-82-8f-00-03-02-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-39-00-39-00-9c-01-00-00-dc-7f-66-06-00-00-00-00-37-38-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-c4-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:09:28.218,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-08-68-82-8f-00-03-02-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-39-00-39-00-9c-01-00-00-dc-7f-66-06-00-00-00-00-37-38-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-cb-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:09:28.219,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-07-68-82-8f-00-03-01-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-3a-00-3a-00-b1-01-00-00-f4-8a-3e-06-00-00-00-00-36-36-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-d8-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:10:35.980,DEBUG,"0.0.0.0桩没有充电枪口,将桩设置成空闲状态.",,无报文
2024-11-16 00:10:36.169,DEBUG,生成时间等待任务:38,,无报文
2024-11-16 00:10:36.303,DEBUG,"充电桩数据采集任务,发送",68-76-00-00-00-04-15-fd-01-68-01-08-00-02-01-1f-90-1f-b6-2f-b6-d2-16,"控制码: 01 (下发: 读当前数据), 数据长度: 8 字节, 终端地址: 760000000415"
2024-11-16 00:10:42.738,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-0e-68-82-8f-00-03-01-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-3a-00-3a-00-b1-01-00-00-f4-8a-3e-06-00-00-00-00-36-36-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-df-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:10:42.738,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-0f-68-82-8f-00-03-02-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-39-00-39-00-9c-01-00-00-dc-7f-66-06-00-00-00-00-37-37-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-d1-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:10:46.257,DEBUG,"充电桩数据采集任务,发送",68-76-00-00-00-04-15-fd-01-68-01-06-00-00-00-00-82-01-82-69-16,"控制码: 01 (下发: 读当前数据), 数据长度: 6 字节, 终端地址: 760000000415"
2024-11-16 00:10:56.366,DEBUG,"超时2次,不执行任务了",,无报文
2024-11-16 00:11:57.900,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-15-68-82-8f-00-03-01-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-3a-00-3a-00-b1-01-00-00-f4-8a-3e-06-00-00-00-00-36-36-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-e6-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:11:57.901,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-16-68-82-8f-00-03-02-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-39-00-39-00-9c-01-00-00-dc-7f-66-06-00-00-00-00-36-37-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-d7-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:13:13.329,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-1c-68-82-8f-00-03-01-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-3a-00-3a-00-b1-01-00-00-f4-8a-3e-06-00-00-00-00-36-36-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-ed-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:13:13.329,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-1d-68-82-8f-00-03-02-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-39-00-39-00-9c-01-00-00-dc-7f-66-06-00-00-00-00-36-37-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-de-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:14:27.800,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-05-68-82-8f-00-03-02-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-39-00-39-00-9c-01-00-00-dc-7f-66-06-00-00-00-00-36-37-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-c6-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:14:27.799,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-04-68-82-8f-00-03-01-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-3a-00-3a-00-b1-01-00-00-f4-8a-3e-06-00-00-00-00-36-36-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-d5-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:15:39.628,DEBUG,"0.0.0.0桩没有充电枪口,将桩设置成空闲状态.",,无报文
2024-11-16 00:15:39.651,DEBUG,生成时间等待任务:42,,无报文
2024-11-16 00:15:39.770,DEBUG,"充电桩数据采集任务,发送",68-76-00-00-00-04-15-fd-01-68-01-04-00-01-01-10-b9-2d-16,"控制码: 01 (下发: 读当前数据), 数据长度: 4 字节, 终端地址: 760000000415"
2024-11-16 00:15:40.892,DEBUG,接收,68-76-00-00-00-04-15-fd-01-68-81-05-00-01-01-10-b9-01-af-16,"控制码: 81 (应答/上报: 读当前数据), 数据长度: 5 字节, 终端地址: 760000000415"
2024-11-16 00:15:40.971,DEBUG,"1,枪状态:1---就绪",,无报文
2024-11-16 00:15:41.690,DEBUG,"充电桩数据采集任务,发送",68-76-00-00-00-04-15-fd-01-68-01-04-00-02-01-10-b9-2e-16,"控制码: 01 (下发: 读当前数据), 数据长度: 4 字节, 终端地址: 760000000415"
2024-11-16 00:15:41.873,DEBUG,接收,68-76-00-00-00-04-15-fd-01-68-81-05-00-02-01-10-b9-01-b0-16,"控制码: 81 (应答/上报: 读当前数据), 数据长度: 5 字节, 终端地址: 760000000415"
2024-11-16 00:15:41.873,DEBUG,"2,枪状态:1---就绪",,无报文
2024-11-16 00:15:42.707,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-0d-68-82-8f-00-03-01-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-3a-00-3a-00-b1-01-00-00-f4-8a-3e-06-00-00-00-00-36-36-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-de-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:15:42.707,DEBUG,桩主动上报数据,68-76-00-00-00-04-15-c0-0e-68-82-8f-00-03-02-01-00-00-00-00-00-00-00-00-1b-0e-00-76-00-00-00-04-15-08-34-22-15-11-24-11-36-44-00-00-00-00-f0-11-36-44-00-00-00-00-f0-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-8e-01-00-00-39-00-39-00-9c-01-00-00-dc-7f-66-06-00-00-00-00-36-37-00-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-a0-0f-00-00-00-00-00-00-00-00-00-00-00-00-01-00-cf-16,"控制码: 82 (应答/上报: 桩主动上报数据), 数据长度: 143 字节, 终端地址: 760000000415, 上报类型: 直流桩输出侧数据"
2024-11-16 00:15:42.736,DEBUG,"充电桩数据采集任务,发送",68-76-00-00-00-04-15-fd-01-68-01-08-00-00-00-1f-90-1f-b6-2f-b6-cf-16,"控制码: 01 (下发: 读当前数据), 数据长度: 8 字节, 终端地址: 760000000415"
2024-11-16 00:15:52.858,DEBUG,"充电桩数据采集任务,发送",68-76-00-00-00-04-15-fd-01-68-01-08-00-01-01-1f-90-1f-b6-2f-b6-d1-16,"控制码: 01 (下发: 读当前数据), 数据长度: 8 字节, 终端地址: 760000000415"
2024-11-16 00:16:02.982,DEBUG,"超时2次,不执行任务了",,无报文
